Summary of LSM hooks found:
unlink: No LSM hooks found
symlink: No LSM hooks found
readlink: No LSM hooks found
chmod: No LSM hooks found
fchmod: No LSM hooks found
chown: No LSM hooks found
fchown: No LSM hooks found
lchown: No LSM hooks found
umask: No LSM hooks found
gettimeofday: No LSM hooks found
getrlimit: No LSM hooks found
getrusage: No LSM hooks found
sysinfo: No LSM hooks found
times: No LSM hooks found
ptrace: No LSM hooks found
getuid: No LSM hooks found
syslog: No LSM hooks found
getgid: No LSM hooks found
setuid: No LSM hooks found
setgid: No LSM hooks found
geteuid: No LSM hooks found
getegid: No LSM hooks found
setpgid: No LSM hooks found
getppid: No LSM hooks found
getpgrp: No LSM hooks found
setsid: No LSM hooks found
setreuid: No LSM hooks found
setregid: No LSM hooks found
getgroups: No LSM hooks found
setgroups: No LSM hooks found
setresuid: No LSM hooks found
getresuid: No LSM hooks found
setresgid: No LSM hooks found
getresgid: No LSM hooks found
getpgid: No LSM hooks found
setfsuid: No LSM hooks found
setfsgid: No LSM hooks found
getsid: No LSM hooks found
capget: No LSM hooks found
capset: No LSM hooks found
rt_sigpending: No LSM hooks found
rt_sigtimedwait: No LSM hooks found
rt_sigqueueinfo: No LSM hooks found
rt_sigsuspend: No LSM hooks found
sigaltstack: No LSM hooks found
utime: No LSM hooks found
mknod: No LSM hooks found
uselib: No LSM hooks found
personality: No LSM hooks found
ustat: No LSM hooks found
statfs: No LSM hooks found
fstatfs: No LSM hooks found
sysfs: No LSM hooks found
getpriority: No LSM hooks found
setpriority: No LSM hooks found
sched_setparam: No LSM hooks found
sched_getparam: No LSM hooks found
sched_setscheduler: No LSM hooks found
sched_getscheduler: No LSM hooks found
sched_get_priority_max: No LSM hooks found
sched_get_priority_min: No LSM hooks found
sched_rr_get_interval: No LSM hooks found
mlock: No LSM hooks found
munlock: No LSM hooks found
mlockall: No LSM hooks found
munlockall: No LSM hooks found
vhangup: No LSM hooks found
modify_ldt: No LSM hooks found
pivot_root: No LSM hooks found
_sysctl: No LSM hooks found
prctl: No LSM hooks found
arch_prctl: No LSM hooks found
adjtimex: No LSM hooks found
setrlimit: No LSM hooks found
chroot: No LSM hooks found
sync: No LSM hooks found
acct: No LSM hooks found
settimeofday: No LSM hooks found
mount: No LSM hooks found
umount2: No LSM hooks found
swapon: No LSM hooks found
swapoff: No LSM hooks found
reboot: No LSM hooks found
sethostname: No LSM hooks found
setdomainname: No LSM hooks found
iopl: No LSM hooks found
ioperm: No LSM hooks found
create_module: No LSM hooks found
init_module: No LSM hooks found
delete_module: No LSM hooks found
get_kernel_syms: No LSM hooks found
query_module: No LSM hooks found
quotactl: No LSM hooks found
nfsservctl: No LSM hooks found
getpmsg: No LSM hooks found
putpmsg: No LSM hooks found
afs_syscall: No LSM hooks found
tuxcall: No LSM hooks found
security: apparmor_file_free_security, security_file_permission, apparmor_current_getlsmblob_subj, security_bprm_creds_for_exec, security_inode_permission, apparmor_bprm_committed_creds, security_current_getlsmblob_subj, security_file_alloc, apparmor_mmap_file, security_cred_getlsmblob, security_bprm_check, apparmor_file_mprotect, apparmor_file_alloc_security, apparmor_bprm_committing_creds, security_bprm_committing_creds, apparmor_inode_getattr, security_inode_getattr, security_bprm_committed_creds, security_file_free, apparmor_file_open, security_prepare_creds, apparmor_bprm_creds_for_exec, apparmor_file_permission, security_vm_enough_memory_mm, security_mmap_file, security_mmap_addr, security_bprm_creds_from_file, security_file_open, security_file_mprotect, security_inode_follow_link, security_get, apparmor_cred_prepare
gettid: No LSM hooks found
readahead: No LSM hooks found
setxattr: No LSM hooks found
lsetxattr: No LSM hooks found
fsetxattr: No LSM hooks found
getxattr: security_get
lgetxattr: No LSM hooks found
fgetxattr: No LSM hooks found
listxattr: No LSM hooks found
llistxattr: No LSM hooks found
flistxattr: No LSM hooks found
removexattr: No LSM hooks found
lremovexattr: No LSM hooks found
fremovexattr: No LSM hooks found
tkill: No LSM hooks found
time: No LSM hooks found
futex: No LSM hooks found
sched_setaffinity: No LSM hooks found
sched_getaffinity: No LSM hooks found
set_thread_area: No LSM hooks found
io_setup: No LSM hooks found
io_destroy: No LSM hooks found
io_getevents: No LSM hooks found
io_submit: No LSM hooks found
io_cancel: No LSM hooks found
get_thread_area: No LSM hooks found
lookup_dcookie: No LSM hooks found
epoll_create: No LSM hooks found
epoll_ctl_old: No LSM hooks found
epoll_wait_old: No LSM hooks found
remap_file_pages: No LSM hooks found
getdents64: No LSM hooks found
set_tid_address: No LSM hooks found
restart_syscall: No LSM hooks found
semtimedop: No LSM hooks found
fadvise64: No LSM hooks found
timer_create: No LSM hooks found
timer_settime: No LSM hooks found
timer_gettime: No LSM hooks found
timer_getoverrun: No LSM hooks found
timer_delete: No LSM hooks found
clock_settime: No LSM hooks found
clock_gettime: No LSM hooks found
clock_getres: No LSM hooks found
clock_nanosleep: No LSM hooks found
exit_group: security_file_free, apparmor_file_free_security
epoll_wait: No LSM hooks found
epoll_ctl: No LSM hooks found
tgkill: No LSM hooks found
utimes: No LSM hooks found
vserver: No LSM hooks found
mbind: No LSM hooks found
set_mempolicy: No LSM hooks found
get_mempolicy: No LSM hooks found
mq_open: No LSM hooks found
mq_unlink: No LSM hooks found
mq_timedsend: No LSM hooks found
mq_timedreceive: No LSM hooks found
mq_notify: No LSM hooks found
mq_getsetattr: No LSM hooks found
kexec_load: No LSM hooks found
waitid: No LSM hooks found
add_key: No LSM hooks found
request_key: No LSM hooks found
keyctl: No LSM hooks found
ioprio_set: No LSM hooks found
ioprio_get: No LSM hooks found
inotify_init: No LSM hooks found
inotify_add_watch: No LSM hooks found
inotify_rm_watch: No LSM hooks found
migrate_pages: No LSM hooks found
openat: security_file_alloc, apparmor_file_open, security_file_open, apparmor_file_alloc_security, apparmor_current_getlsmblob_subj, security_inode_follow_link, security_inode_permission, security_current_getlsmblob_subj
mkdirat: No LSM hooks found
mknodat: No LSM hooks found
fchownat: No LSM hooks found
futimesat: No LSM hooks found
newfstatat: No LSM hooks found
unlinkat: No LSM hooks found
renameat: No LSM hooks found
linkat: No LSM hooks found
symlinkat: No LSM hooks found
readlinkat: No LSM hooks found
fchmodat: No LSM hooks found
faccessat: security_inode_permission
pselect6: No LSM hooks found
ppoll: No LSM hooks found
unshare: No LSM hooks found
set_robust_list: No LSM hooks found
get_robust_list: No LSM hooks found
splice: No LSM hooks found
tee: No LSM hooks found
sync_file_range: No LSM hooks found
vmsplice: No LSM hooks found
move_pages: No LSM hooks found
utimensat: No LSM hooks found
epoll_pwait: No LSM hooks found
signalfd: No LSM hooks found
timerfd_create: No LSM hooks found
eventfd: No LSM hooks found
fallocate: No LSM hooks found
timerfd_settime: No LSM hooks found
timerfd_gettime: No LSM hooks found
accept4: No LSM hooks found
signalfd4: No LSM hooks found
eventfd2: No LSM hooks found
epoll_create1: No LSM hooks found
dup3: No LSM hooks found
pipe2: No LSM hooks found
inotify_init1: No LSM hooks found
preadv: No LSM hooks found
pwritev: No LSM hooks found
rt_tgsigqueueinfo: No LSM hooks found
perf_event_open: No LSM hooks found
recvmmsg: No LSM hooks found
fanotify_init: No LSM hooks found
fanotify_mark: No LSM hooks found
prlimit64: No LSM hooks found
name_to_handle_at: No LSM hooks found
open_by_handle_at: No LSM hooks found
clock_adjtime: No LSM hooks found
syncfs: No LSM hooks found
sendmmsg: No LSM hooks found
setns: No LSM hooks found
getcpu: No LSM hooks found
process_vm_readv: No LSM hooks found
process_vm_writev: No LSM hooks found
kcmp: No LSM hooks found
finit_module: No LSM hooks found
sched_setattr: No LSM hooks found
sched_getattr: No LSM hooks found
renameat2: No LSM hooks found
seccomp: No LSM hooks found
getrandom: No LSM hooks found
memfd_create: No LSM hooks found
kexec_file_load: No LSM hooks found
bpf: No LSM hooks found
execveat: security_file_permission, apparmor_current_getlsmblob_subj, security_bprm_creds_for_exec, security_inode_permission, apparmor_bprm_committed_creds, security_current_getlsmblob_subj, security_file_alloc, apparmor_mmap_file, security_cred_getlsmblob, security_bprm_check, apparmor_file_alloc_security, apparmor_bprm_committing_creds, security_bprm_committing_creds, security_bprm_committed_creds, apparmor_file_open, security_prepare_creds, apparmor_bprm_creds_for_exec, apparmor_file_permission, security_vm_enough_memory_mm, security_mmap_file, security_mmap_addr, security_bprm_creds_from_file, security_file_open, security_inode_follow_link, security_get, apparmor_cred_prepare
userfaultfd: No LSM hooks found
membarrier: No LSM hooks found
mlock2: No LSM hooks found
copy_file_range: No LSM hooks found
preadv2: No LSM hooks found
pwritev2: No LSM hooks found
pkey_mprotect: No LSM hooks found
pkey_alloc: No LSM hooks found
pkey_free: No LSM hooks found
statx: No LSM hooks found
io_pgetevents: No LSM hooks found
rseq: No LSM hooks found
pidfd_send_signal: No LSM hooks found
io_uring_setup: No LSM hooks found
io_uring_enter: No LSM hooks found
io_uring_register: No LSM hooks found
open_tree: No LSM hooks found
move_mount: No LSM hooks found
fsopen: No LSM hooks found
fsconfig: No LSM hooks found
fsmount: No LSM hooks found
fspick: No LSM hooks found
pidfd_open: No LSM hooks found
clone3: No LSM hooks found
close_range: No LSM hooks found
openat2: security_file_alloc, apparmor_file_open, security_file_open, apparmor_file_alloc_security, apparmor_current_getlsmblob_subj, security_inode_follow_link, security_inode_permission, security_current_getlsmblob_subj
pidfd_getfd: No LSM hooks found
faccessat2: No LSM hooks found
process_madvise: No LSM hooks found
epoll_pwait2: No LSM hooks found
mount_setattr: No LSM hooks found
quotactl_fd: No LSM hooks found
landlock_create_ruleset: No LSM hooks found
landlock_add_rule: No LSM hooks found
landlock_restrict_self: No LSM hooks found
memfd_secret: No LSM hooks found
process_mrelease: No LSM hooks found
futex_waitv: No LSM hooks found
set_mempolicy_home_node: No LSM hooks found
